,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
368,OErnskoeldsvik,100,SE,1580354819,100,63.29,18.72,32.0,5.82
369,San Cristobal,40,VE,1580354820,78,7.77,-72.22,78.8,2.24
370,Sainte-Suzanne,90,RE,1580354821,73,-20.91,55.61,75.99,5.82
371,Huarmey,100,PE,1580354823,72,-10.07,-78.15,72.81,2.57
372,Bani Walid,32,LY,1580354824,50,31.76,13.99,52.41,6.33
373,Mugur-Aksy,0,RU,1580354825,80,50.35,90.5,-15.52,5.77
374,Maibong,38,IN,1580354826,59,25.3,93.17,64.47,1.45
375,Iwaki,75,JP,1580354827,50,37.05,140.88,59.0,4.7
376,Edson,90,CA,1580354828,55,53.58,-116.44,39.2,23.04
377,Boddam,20,GB,1580354829,86,57.47,-1.78,42.01,2.24
378,Palmas Bellas,20,PA,1580354830,88,9.23,-80.09,80.6,3.36
379,Abnub,0,EG,1580354831,70,27.27,31.15,46.4,9.17
380,Nanortalik,0,GL,1580354832,48,60.14,-45.24,22.08,25.99
381,Manhattan,1,US,1580354611,43,40.78,-73.97,35.01,6.49
382,Harindanga,90,IN,1580354835,93,22.04,88.32,66.2,4.7
383,Payson,40,US,1580354836,74,40.04,-111.73,35.6,9.17
384,Nabire,26,ID,1580354837,50,-3.37,135.48,90.39,5.97
385,Agua Prieta,5,MX,1580354706,45,31.3,-109.57,46.99,8.01
386,Marawi,74,PH,1580354839,83,8.0,124.29,82.0,3.0
387,Mossamedes,100,AO,1580354840,79,-15.2,12.15,75.61,5.41
388,Tazovsky,98,RU,1580354841,96,67.47,78.7,-11.79,11.12
389,Morgan City,90,US,1580354842,100,29.7,-91.21,55.0,8.05
390,Philadelphia,1,US,1580354743,47,39.95,-75.16,33.8,9.17
391,Paulo Ramos,100,BR,1580354844,98,-4.22,-45.18,74.89,3.4
392,Geraldton,75,AU,1580354845,41,-28.77,114.6,75.2,20.8
393,Paamiut,0,GL,1580354847,50,61.99,-49.67,7.21,8.08
394,Emba,100,KZ,1580354848,94,48.83,58.14,15.06,9.84
395,Nantucket,1,US,1580354849,55,41.28,-70.1,34.0,10.29
396,Padang,100,ID,1580354850,55,-0.95,100.35,80.51,2.46
397,Oranjestad,20,AW,1580354728,83,12.52,-70.03,78.8,11.41
398,Mayor Pablo Lagerenza,26,PY,1580354873,62,-19.93,-60.77,82.9,9.6
399,Cape Canaveral,75,US,1580354874,93,28.41,-80.6,64.99,6.82
400,Casas Grandes,0,MX,1580354875,41,30.37,-107.95,49.41,13.98
401,Aguimes,100,ES,1580354876,39,27.91,-15.45,71.01,5.82
402,Cheney,90,US,1580354830,100,47.49,-117.58,41.0,13.87
403,Grand Gaube,40,MU,1580354878,94,-20.01,57.66,73.99,4.7
404,Sinnamary,0,GF,1580354880,82,5.38,-52.95,79.72,17.6
405,Bonavista,100,CA,1580354881,86,48.65,-53.11,30.0,1.99
406,Mayumba,100,GA,1580354882,77,-3.43,10.66,82.33,4.97
407,Walvis Bay,33,NA,1580354691,87,-22.96,14.51,63.0,8.05
408,Abha,5,SA,1580354884,93,18.22,42.51,50.0,1.57
409,Sovetskiy,0,RU,1580354885,98,61.36,63.58,-14.4,4.7
410,Ribeira Brava,20,PT,1580354886,72,32.65,-17.07,59.0,4.7
411,Sao Gotardo,100,BR,1580354887,100,-19.31,-46.05,68.0,4.12
412,Warmbad,0,NA,1580354888,22,-28.45,18.73,69.3,4.85
413,Lagos,15,NG,1580354875,94,6.58,3.75,75.2,4.76
414,Kangaatsiaq,0,GL,1580354891,91,68.31,-53.46,-0.72,7.05
415,Tura,5,IN,1580354892,51,25.52,90.22,69.62,2.1
416,Rawson,24,AR,1580354893,65,-43.3,-65.1,59.13,24.29
417,Methoni,40,GR,1580354894,93,36.82,21.7,54.0,19.73
418,Kamloops,20,CA,1580354895,69,50.67,-120.32,39.2,3.36
419,Biloela,100,AU,1580354896,31,-24.42,150.5,91.94,8.7
420,Kloulklubed,75,PW,1580354897,94,7.04,134.26,78.8,4.7
421,Kawalu,100,ID,1580354898,68,-7.38,108.21,81.57,2.73
422,Acapulco de Juarez,75,MX,1580354796,74,16.86,-99.89,78.8,6.93
423,Beloha,100,MG,1580354900,78,-25.17,45.05,69.94,8.52
424,Okha,0,RU,1580354902,91,53.57,142.95,0.37,8.32
425,Ca Mau,71,VN,1580354903,55,9.18,105.15,85.87,12.59
426,Berlevag,100,NO,1580354904,64,70.86,29.09,23.22,27.85
427,Thinadhoo,11,MV,1580354905,78,0.53,72.93,80.8,15.77
428,Pemberton,15,CA,1580354906,90,50.32,-122.8,20.77,3.58
429,Jizan,75,SA,1580354907,83,17.33,42.67,75.2,4.7
430,Neiafu,75,TO,1580354908,83,-18.65,-173.98,84.2,8.05
431,Baoying,0,CN,1580354909,50,33.23,119.31,38.93,12.93
432,Samarai,100,PG,1580354910,78,-10.62,150.67,84.11,6.85
433,Umm Kaddadah,0,SD,1580354912,16,13.6,26.69,55.56,13.82
434,Coquimbo,0,CL,1580354913,88,-29.95,-71.34,62.6,6.93
435,Ust'-Omchug,28,RU,1580354914,85,61.15,149.63,-22.07,4.0
436,Kumul,0,CN,1580354915,78,42.8,93.45,9.97,2.53
437,Wheeling,90,US,1580354734,87,42.14,-87.93,32.0,1.43
438,Barentu,0,ER,1580354917,83,15.11,37.59,55.06,1.74
439,Pemba,75,MZ,1580354918,83,-12.97,40.52,77.0,4.7
440,Bilibino,98,RU,1580354919,100,68.05,166.44,-30.44,1.9
441,Guanare,0,VE,1580354920,61,9.04,-69.74,76.91,3.06
442,Mnogovershinnyy,0,RU,1580354922,71,53.94,139.92,6.4,2.28
443,Rocha,100,UY,1580354923,91,-34.48,-54.33,65.88,11.12
444,Luxor,12,EG,1580354924,76,25.7,32.64,48.2,6.35
445,Tonekabon,20,IR,1580354925,93,36.82,50.87,41.0,2.17
446,Ubari,0,LY,1580354926,26,26.59,12.78,58.55,7.31
447,Sibolga,100,ID,1580354927,64,1.74,98.78,84.0,1.52
448,Porto-Novo,40,BJ,1580354928,94,6.5,2.6,78.8,6.93
449,Rapid Valley,40,US,1580354929,74,44.06,-103.15,35.6,4.7
450,Arklow,75,IE,1580354930,81,52.79,-6.14,46.0,16.11
451,Aksu,0,CN,1580354643,68,41.12,80.26,24.39,3.67
452,Quatre Cocos,40,MU,1580354933,94,-20.21,57.76,73.99,4.7
453,Karratha,0,AU,1580354934,48,-20.74,116.85,90.91,15.7
454,Kalmunai,21,LK,1580354935,70,7.42,81.82,79.59,10.09
455,Avera,90,US,1580354936,81,33.19,-82.53,48.2,4.7
456,Daru,100,PG,1580354937,61,-9.08,143.21,92.39,1.21
457,Campbellton,0,CA,1580354818,86,48.01,-66.67,0.86,7.2
458,Timmins,40,CA,1580354801,83,48.47,-81.33,-5.8,3.69
459,Makakilo City,1,US,1580354940,48,21.35,-158.09,82.4,5.82
460,Gusau,8,NG,1580354941,11,12.16,6.66,63.79,12.06
461,Araguaina,22,BR,1580354943,87,-7.19,-48.21,75.43,1.61
462,Murgab,100,TM,1580354765,69,37.5,61.97,39.2,11.41
463,Melfort,90,CA,1580354945,100,52.87,-104.62,23.0,14.99
464,Verkhnyaya Inta,94,RU,1580354946,98,65.98,60.31,-14.71,3.6
465,Kurkino,100,RU,1580354947,98,53.43,38.66,33.58,9.86
466,Presidencia Roque Saenz Pena,100,AR,1580354948,91,-26.79,-60.44,71.58,3.62
467,Oodweyne,78,SO,1580354706,45,9.41,45.06,59.56,1.57
468,Port Hueneme,1,US,1580354951,51,34.15,-119.2,66.2,5.82
469,Sena Madureira,39,BR,1580354952,95,-9.07,-68.66,71.42,1.48
470,Auki,100,SB,1580354953,69,-8.77,160.7,85.03,4.41
471,Laurel,1,US,1580354954,74,39.1,-76.85,35.01,5.32
472,Washougal,90,US,1580354955,87,45.58,-122.35,48.2,1.19
473,Yamada,56,JP,1580354956,75,39.47,141.95,44.2,5.32
474,Chapais,1,CA,1580354957,76,49.78,-74.85,-11.2,1.25
475,Buin,0,CL,1580354958,45,-33.73,-70.75,68.0,10.29
476,Yangi Marg`ilon,0,UZ,1580354959,79,40.43,71.72,28.4,4.7
477,Fare,97,PF,1580354960,70,-16.7,-151.02,82.54,5.21
478,Aracati,8,BR,1580354962,90,-4.56,-37.77,76.78,4.34
479,Cozumel,90,MX,1580354846,94,20.51,-86.95,75.2,4.7
480,Wahiawa,1,US,1580354964,69,21.5,-158.02,82.4,10.29
481,Tamiahua,21,MX,1580354965,59,21.27,-97.45,68.23,6.6
482,Banes,75,CU,1580354966,88,20.96,-75.72,71.6,2.24
483,Khash,0,IR,1580354967,45,28.22,61.22,39.56,4.81
484,Batagay-Alyta,100,RU,1580354968,80,67.8,130.41,-6.61,5.12
485,Pacific Grove,1,US,1580354969,81,36.62,-121.92,54.0,6.93
486,Vila,90,PT,1580354970,93,42.03,-8.16,61.0,13.87
487,Polunochnoye,100,RU,1580354972,97,60.87,60.42,-7.82,3.53
488,Conde,20,BR,1580354973,88,-7.26,-34.91,77.0,4.7
489,Jardim,32,BR,1580354974,84,-21.48,-56.14,75.79,7.83
490,Xichang,100,CN,1580354975,81,27.9,102.26,33.46,2.48
491,Yablonovo,75,RU,1580354976,88,50.85,37.36,33.8,17.9
492,Keroka,100,KE,1580354977,98,-0.78,34.95,56.16,1.77
493,Haines Junction,87,CA,1580354978,91,60.75,-137.51,14.56,18.23
494,Ketchikan,90,US,1580354979,93,55.34,-131.65,37.4,16.11
495,San Jose de Ocoa,6,DO,1580354981,91,18.55,-70.5,64.08,2.35
496,Las Vegas,1,US,1580354763,30,36.17,-115.14,57.2,10.29
497,Beipiao,11,CN,1580354983,62,41.79,120.78,15.6,13.8
498,Sioux Lookout,90,CA,1580354984,85,50.1,-91.92,17.6,2.24
499,Bathsheba,75,BB,1580354985,78,13.22,-59.52,78.8,12.75
500,Usinsk,95,RU,1580354986,98,65.99,57.53,-15.88,5.28
501,Homer,90,US,1580354987,92,59.64,-151.55,21.0,21.92
502,Ayagoz,87,KZ,1580354988,88,47.97,80.44,-2.45,10.04
503,Ballina,75,AU,1580354989,74,-28.87,153.57,89.01,8.05
504,Koster,0,ZA,1580354990,48,-25.86,26.9,60.84,5.32
505,Mehamn,100,NO,1580354992,83,71.04,27.85,14.25,23.38
506,Alakurtti,100,RU,1580354993,87,66.97,30.35,10.99,3.0
507,Gao,0,ML,1580354994,9,16.64,1.64,73.24,9.69
508,North Tonawanda,1,US,1580354890,92,43.04,-78.86,21.99,1.97
509,Adrar,100,MR,1580354996,18,20.5,-10.07,66.4,11.79
510,Joao Pinheiro,100,BR,1580354997,88,-17.74,-46.17,70.61,0.87
511,Loralai,0,PK,1580354998,43,30.37,68.6,30.87,2.57
512,Skibbereen,75,IE,1580354999,100,51.55,-9.27,46.4,9.17
513,Belmonte,0,BR,1580355000,83,-15.86,-38.88,78.8,6.93
514,Berdigestyakh,100,RU,1580355001,92,62.1,126.7,-6.23,7.83
515,Laas,31,IT,1580355003,92,46.62,10.7,33.01,2.24
516,Aldan,10,RU,1580355005,71,58.6,125.39,10.99,13.24
517,Jhudo,0,PK,1580355006,42,24.96,69.3,58.05,2.68
518,Syamzha,100,RU,1580355007,97,60.02,41.06,8.24,4.63
519,Bilma,26,NE,1580355008,13,18.69,12.92,62.83,8.88
520,Anadyr,20,RU,1580355009,83,64.75,177.48,-11.0,1.83
521,Nyrob,100,RU,1580355010,96,60.73,56.72,2.26,5.28
522,Casian,94,PH,1580355011,66,11.04,119.71,82.26,8.93
523,Araouane,0,ML,1580355013,21,18.9,-3.53,67.35,13.51
524,Trinidad,100,BO,1580355014,97,-14.83,-64.9,74.14,6.49
525,Sam Roi Yot,20,TH,1580355015,58,12.27,99.87,84.2,4.7
526,Paita,62,PE,1580355016,63,-5.09,-81.11,78.3,6.58
527,Kiunga,90,PG,1580355017,36,-6.12,141.29,97.72,2.89
528,Salamanca,90,ES,1580355018,93,40.83,-6.0,48.0,6.93
529,Satun,40,TH,1580355019,62,6.83,100.0,86.0,6.93
530,Antofagasta,79,CL,1580355020,77,-23.65,-70.4,72.0,14.99
531,Gilgit,99,PK,1580355021,77,35.92,74.31,6.26,3.42
532,Wau,82,SS,1580355022,16,7.7,28.0,64.13,6.02
533,Alugan,100,PH,1580355023,72,12.22,125.48,81.32,6.53
534,Noyabrsk,90,RU,1580355025,97,63.2,75.45,-14.31,11.65
535,Marzuq,0,YE,1580355026,70,14.4,46.47,53.8,1.25
536,Fort Nelson,40,CA,1580355022,84,58.81,-122.7,1.4,0.27
537,Derbent,100,RU,1580355028,77,42.07,48.29,45.63,11.18
538,Pandan,86,PH,1580355029,70,14.05,124.17,79.48,10.65
539,Emirdag,100,TR,1580355030,94,39.02,31.15,36.72,8.19
540,Yenagoa,14,NG,1580355031,95,4.92,6.26,74.97,1.28
541,Raudeberg,0,NO,1580355032,93,61.99,5.14,37.99,9.17
542,Ostrovnoy,0,RU,1580355033,95,68.05,39.51,0.66,7.36
543,Vanimo,100,PG,1580355034,75,-2.67,141.3,83.34,13.0
544,Bara,0,NG,1580355036,16,10.37,10.73,59.77,6.58
545,Buncrana,100,IE,1580355037,94,55.13,-7.45,42.71,7.45
546,Port Macquarie,2,AU,1580355038,62,-31.43,152.92,88.0,12.75
547,Phek,41,IN,1580355039,74,25.67,94.5,55.8,0.18
548,Mount Isa,95,AU,1580355040,66,-20.73,139.5,86.0,12.75
549,Alice Springs,75,AU,1580355041,66,-23.7,133.88,84.2,16.11
550,Cerrito,40,CO,1580355042,100,6.84,-72.69,68.0,2.24
551,Chengzhong,0,CN,1580355043,66,30.95,113.55,48.2,2.24
552,Kirkwood,90,US,1580355044,94,38.58,-90.41,33.01,3.36
553,Tambun,20,ID,1580355046,62,-6.26,107.07,84.2,3.36
554,Butembo,80,CD,1580355047,77,0.15,29.28,62.44,3.47
555,Maceio,20,BR,1580355048,88,-9.67,-35.74,75.2,3.36
556,Kidal,20,ML,1580355050,13,18.44,1.41,69.49,8.37
557,Kongoussi,3,BF,1580355051,10,13.33,-1.53,69.42,7.94
558,Nacala,100,MZ,1580355052,94,-14.54,40.67,75.13,2.46
559,Karpogory,83,RU,1580355054,98,64.0,44.45,-10.21,3.87
560,Artvin,75,TR,1580355055,57,41.17,41.83,48.2,20.8
561,Baruun-Urt,0,MN,1580355057,85,46.68,113.28,6.73,9.08
562,Pringsewu,100,ID,1580355058,74,-5.36,104.97,79.59,3.18
563,Mantenopolis,94,BR,1580355059,96,-18.86,-41.12,69.98,4.32
